country_code,admin_level,admin1,admin2,fips,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08
US,2,"Mississippi","Noxubee County","28103",10.558,30.254,18.805,20.746,24.007,28.096,22.264,10.442,15.642,15.794,18.606,17.303,14.885,16.687,7.764,18.232,12.76,9.467,15.458,13.541,6.552,3.63,11.894,9.314,8.58,9.322,9.904,7.836,4.03,9.304,6.49,8.669,11.907,8.337,3.7,2.09,4.948,8.759,3.111
US,2,"Mississippi","Oktibbeha County","28105",5.038,3.388,3.386,3.39,4.453,14.719,7.639,8.484,6.18,5.826,5.972,6.022,6.259,4.788,3.787,5.236,4.411,4.861,4.56,4.674,3.473,2.182,3.183,3.02,3.462,3.505,4.483,3.136,2.254,2.946,2.962,3.649,3.372,3.88,1.616,1.474,2.575,1.522,2.572
US,2,"Mississippi","Panola County","28107",13.645,14.709,16.972,14.964,17.255,18.636,18.142,14.356,15.16,15.97,16.99,18.234,17.414,15.063,10.07,14.119,14.786,12.304,11.694,13.263,9.058,4.858,9.748,7.726,10.236,11.274,11.711,7.024,7.794,8.129,7.877,9.68,11.153,10.294,6.852,5.361,8.89,7.958,8.944
US,2,"Mississippi","Pearl River County","28109",9.416,12.406,14.182,12.169,16.068,16.703,16.026,11.839,12.992,13.355,15.012,16.2,15.742,10.922,6.513,10.641,8.603,8.992,9.277,9.718,6.194,3.481,6.22,5.652,6.442,6.429,7.34,5.523,3.732,5.62,5.864,5.926,6.4,6.367,3.562,1.63,5.432,5.697,6.576
US,2,"Mississippi","Perry County","28111",13.486,22.667,22.758,19.423,21.009,22.133,23.743,17.394,22.678,24.771,24.194,20.546,21.804,18.069,11.008,19.024,13.3,14.068,13.699,17.978,7.889,5.272,13.861,9.926,14.367,12.916,10.976,13.618,7.51,13.447,9.843,13.228,12.104,14.074,3.28,1.831,9.988,4.514,6.69
US,2,"Mississippi","Pike County","28113",8.148,10.536,11.532,9.27,10.409,15.057,11.021,9.232,11.697,11.3,10.91,10.586,11.64,9.8,7.634,8.97,8.064,8.443,9.195,8.957,6.553,3.491,7.523,6.338,7.4,7.617,7.912,5.556,3.081,5.227,5.662,7.298,6.929,7.092,2.65,1.906,6.02,6.136,5.898
US,2,"Mississippi","Pontotoc County","28115",13.394,17.782,16.352,18.63,19.358,21.6,19.44,14.778,18.648,18.518,18.702,18.231,19.898,16.727,11.209,15.951,13.867,14.068,15.598,15.131,10.432,3.87,9.889,8.892,9.982,11.009,12.53,7.779,7.391,8.285,9.514,11.49,11.499,11.965,5.196,3.654,10.71,9.178,10.267
US,2,"Mississippi","Prentiss County","28117",8.724,10.471,11.898,10.393,14.68,22.307,18.595,11.203,13.586,14.306,16.166,17.304,16.427,11.192,7.636,8.183,10.263,8.986,8.462,10.886,6.57,3.569,6.4,4.593,7.539,7.739,7.256,5.389,5.696,5.353,6.052,6.191,6.561,7.232,3.671,3.892,5.85,5.412,6.762
US,2,"Mississippi","Quitman County","28119",18.194,22.908,24.113,20.678,24.228,27.478,23.289,18.188,24.717,24.546,24.993,27.318,"",19.312,5.845,21.75,18.508,18.997,21.778,21.23,4.11,0.505,13.761,5.654,16.44,16.327,18.996,5.458,5.926,6.617,7.227,17.063,14.693,20.587,1.669,0.979,10.882,16.024,9.424
US,2,"Mississippi","Rankin County","28121",8.58,11.902,11.856,10.972,12.531,14.179,11.557,8.458,12.246,12.235,12.968,13.175,12.272,9.219,6.477,10.114,9.843,9.134,9.6,9.075,6.159,2.378,6.684,6.606,7.064,7.854,7.949,5.415,2.834,6.302,6.612,7.308,7.144,7.014,1.216,1.268,4.936,5.416,5.867
